#  hc_26.dat
# 
# --- Column names ---
# (0) Illustris particle ID
# (1) Illustris particle initial mass at formation [1e10 Msun/h] (h = 0.704)
# (2) Snapshot redshift [dimensionless]
# (3) Merger ID
# (4) M1 [Msun]
# (5) M2 [Msun]
# (6) Delay-time [Gyr]
# (7) Lookback-time [Gyr]
# (8) Redshift at merge [dimensionless]
# (9) Comoving distance at merge [Mpc]
# (10) fISCO [Hz]
# (11) Characteristic strain [dimensionless] (12 entries)
# (First row contains LISA frequencies)
nan nan nan nan nan nan nan nan nan nan nan 2.000000000000000164e-05 2.054976514401878120e-05 6.079691604149071397e-05 1.798689656184179818e-04 5.321461498237910117e-04 1.574365671135477150e-03 4.657794230533489691e-03 1.378018302339122786e-02 4.076896375398918887e-02 1.206158439806447741e-01 3.568445326928307293e-01 1.000000000000000000e+00
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 4.964960000000000000e+05 3.879869999999999663e+01 3.582950000000000301e+01 2.127000000000000002e-01 1.331026144530000010e+01 1.071216702756728267e+01 9.865313335692253531e+03 5.004829730725324666e+00 4.844981015688864709e-25 5.000711016448982711e-25 1.772633257253951713e-24 6.283563786003508104e-24 2.227374088306308619e-23 7.895512002773506365e-23 2.798771437327041193e-22 2.475300227625882241e-22 2.065929199401619352e-22 1.724260923707753091e-22 1.439098558598543848e-22 1.212003049997203597e-22
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 9.131210000000000000e+05 2.717660000000000053e+01 3.558160000000000167e+01 9.510000000000000397e-02 1.342786144529999959e+01 1.339284114321809405e+01 1.033175230040664974e+04 4.842978265875207633e+00 3.911487952754832919e-25 4.037213114501228302e-25 1.431096140098199600e-24 5.072895842054135705e-24 1.798221063091136663e-23 6.374266478996459144e-23 2.259526038217621310e-22 1.960499121512384428e-22 1.636267122400077442e-22 1.365657381056121109e-22 1.139801721186850670e-22 9.599364506457669338e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 4.482250000000000000e+05 1.480739999999999945e+01 1.471209999999999951e+01 7.848000000000000531e-01 1.273816144529999939e+01 5.729691377921764861e+00 8.347060112879787994e+03 2.202040923260850391e+01 8.448927053401656779e-26 8.720497037306194294e-26 3.091209033528686666e-25 1.095760166890801919e-24 3.884209480243201434e-24 1.376859986544361454e-23 4.880641562175073918e-23 1.482491964333524495e-22 1.237313923706305769e-22 1.032684009512154077e-22 8.618962763367666475e-23 7.258855965491971278e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 3.313300000000000000e+04 2.387940000000000040e+01 2.805999999999999872e+01 3.500000000000000333e-02 1.348796144529999985e+01 1.549710682037716936e+01 1.061522256541891875e+04 5.105341715955325377e+00 3.077344000254661616e-25 3.176257655839060853e-25 1.125907883064579481e-24 3.991075972116281003e-24 1.414741619167635113e-23 5.014922950574062258e-23 1.777671050279216039e-22 1.602416802464101158e-22 1.337405307394780519e-22 1.116222042540519385e-22 9.316185911362954557e-23 7.846054512005611873e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 2.289800000000000000e+04 4.043139999999999645e+01 4.118950000000000244e+01 1.110000000000000098e+00 1.241296144530000056e+01 4.586972454384573794e+00 7.737474896809099846e+03 9.592937645205813268e+00 4.385082810529164731e-25 4.526030514391280307e-25 1.604370295897110555e-24 5.687111560941770099e-24 2.015945943982476130e-23 7.146049458517051077e-23 2.533104769798122262e-22 3.849966232527272640e-22 3.213249676834946363e-22 2.681834816743875951e-22 2.238306607840079000e-22 1.885092872424905693e-22
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 1.427310000000000000e+05 2.467579999999999885e+01 2.998910000000000053e+01 3.849999999999999950e-02 1.348446144529999913e+01 1.535322541164697796e+01 1.059759876280811113e+04 4.893476982762688721e+00 3.327217228929511999e-25 3.434162445002065934e-25 1.217329003975511319e-24 4.315142127527175885e-24 1.529615372668331773e-23 5.422123117052638184e-23 1.922013835752117497e-22 1.674908330476529529e-22 1.397908014403277839e-22 1.166718668225226994e-22 9.737639649818548350e-23 8.201001164817456889e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 3.364430000000000000e+05 1.839679999999999893e+01 2.450829999999999842e+01 1.439999999999999961e-02 1.350856144529999980e+01 1.641293447985727738e+01 1.072223402567169251e+04 5.855293193871681900e+00 2.265007908002512309e-25 2.337811017466244971e-25 8.286984680986599188e-25 2.937539201835774561e-24 1.041287862172637991e-23 3.691118100587244559e-23 1.308413679580947772e-22 1.331411027576357377e-22 1.111219110949412346e-22 9.274430562491229911e-23 7.740603217756141869e-23 6.519105069408765643e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 1.924050000000000000e+05 1.312930000000000064e+01 7.828899999999999970e+00 6.420000000000000151e-01 1.288096144530000053e+01 6.447832746455801178e+00 8.656731922971441236e+03 2.802500090114159192e+01 4.610112155929464031e-26 4.758292874743910201e-26 1.686701784962386061e-25 5.978957130814317511e-25 2.119398265349702600e-24 7.512763361384986531e-24 2.663096136622334217e-23 9.440043152890363892e-23 8.531143910505246209e-23 7.120243076903199507e-23 5.942680372764386705e-23 5.004901640623631297e-23
1.376114017397391000e+15 1.315541193179999944e+06 1.352296144529999999e+01 4.458310000000000000e+05 1.148099999999999987e+01 1.842040000000000077e+01 1.549999999999999989e-01 1.336796144530000063e+01 1.185645833866961318e+01 1.008221861280174198e+04 1.137932919490607553e+01 1.041024409390731968e-25 1.074485579112708521e-25 3.808796120611402941e-25 1.350127742092553238e-24 4.785882106168815803e-24 1.696481512086188513e-23 6.013623940173015044e-23 1.083297249069236741e-22 9.041389781756359325e-23 7.546103274598424666e-23 6.298110799935375779e-23 5.304243724749239384e-23
